"ID" "setSize" "enrichmentScore" "NES" "pvalue" "p.adjust" "qvalue" "core_enrichment" "rank"
"GOBP_REGULATION_OF_METAL_ION_TRANSPORT" "GOBP_REGULATION_OF_METAL_ION_TRANSPORT" 10 -0.620628017798325 -1.55165839597674 0.0477064220183486 1 1 "NEDD4/CACNA2D1/ATP1A2/FHL1/BIN1/CASQ2" 120
"GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT" "GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT" 13 0.558432675373206 1.54918509594901 0.0527426160337553 1 1 "SMAD3/STK3/HINFP/SH3PXD2A/RTN4/CITED1" 66
"GOBP_CELL_CELL_SIGNALING_BY_WNT" "GOBP_CELL_CELL_SIGNALING_BY_WNT" 13 0.557951704177815 1.54785080187859 0.0527426160337553 1 1 "SMAD3/MCC/STK3/MCC/CITED1" 66
"GOBP_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_CELL_CELL_SIGNALING" "GOBP_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_CELL_CELL_SIGNALING" 13 0.557951704177815 1.54785080187859 0.0527426160337553 1 1 "SMAD3/MCC/STK3/MCC/CITED1" 66
"GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION" "GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION" 19 -0.518466422646867 -1.54328287022976 0.0393299726183872 1 1 "SHARPIN/NSMCE4A/SIRT7/TRPC4AP/SH3RF3/PDZRN3/MSL2" 65
"GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY" "GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY" 11 0.586378227378041 1.54157326781441 0.0602150537634409 1 1 "SMAD3/MCC/STK3/MCC/CITED1" 66
"GOMF_PROTEIN_DOMAIN_SPECIFIC_BINDING" "GOMF_PROTEIN_DOMAIN_SPECIFIC_BINDING" 21 0.482312079160816 1.51972021458219 0.0300220788853961 1 1 "SH3BGRL2/LNX1/RAPGEF2/THRA/PPARG/CITED1/VPS4A/SLC22A5/QKI/WNT5A" 97
"GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION" "GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION" 17 0.508554623678575 1.5120608955198 0.0575221238938053 1 1 "HOXB4/XKR8/SMAD3/STAU2/STK3/RAPGEF2/PPARG" 62
"GOBP_EPITHELIAL_CELL_DIFFERENTIATION" "GOBP_EPITHELIAL_CELL_DIFFERENTIATION" 15 0.520638559940406 1.50209728611709 0.0612691466083151 1 1 "HOXB5/PECAM1/C1GALT1/SMAD3/RAPGEF2/THRA/PPARG/CITED1" 66
"GOBP_EMBRYONIC_ORGAN_DEVELOPMENT" "GOBP_EMBRYONIC_ORGAN_DEVELOPMENT" 14 0.523369554072076 1.48742019853982 0.0588235294117647 1 1 "HOXB4/HOXB5/SMAD3/THOC5/STK3/CITED1" 66
"GOMF_DNA_BINDING_TRANSCRIPTION_REPRESSOR_ACTIVITY" "GOMF_DNA_BINDING_TRANSCRIPTION_REPRESSOR_ACTIVITY" 13 0.534971941937413 1.48410112041969 0.0632911392405063 1 1 "DEAF1/ZNF77/SMAD3/HINFP" 53
"GOMF_CADHERIN_BINDING" "GOMF_CADHERIN_BINDING" 11 -0.572828104711188 -1.46491612584431 0.068901303538175 1 1 "COBLL1/PI4KA/PTPN1/TNKS1BP1/FMNL2" 74
"GOBP_CHROMATIN_ORGANIZATION" "GOBP_CHROMATIN_ORGANIZATION" 11 -0.570142934891407 -1.4580492341236 0.068901303538175 1 1 "SIRT7/MTHFR/DEK/PHF13/MSL2" 47
"GOBP_LIPID_CATABOLIC_PROCESS" "GOBP_LIPID_CATABOLIC_PROCESS" 12 0.531241410279626 1.43437036628626 0.0799136069114471 1 1 "PNPLA2/AUH/THRA/ACADL/ACAD11/CRAT" 72
"GOBP_SKELETAL_SYSTEM_DEVELOPMENT" "GOBP_SKELETAL_SYSTEM_DEVELOPMENT" 16 0.485973011443968 1.43261350547615 0.081858407079646 1 1 "DEAF1/HOXB4/HOXB5/SMAD3/THRA" 57
"GOCC_VESICLE_MEMBRANE" "GOCC_VESICLE_MEMBRANE" 31 0.4040670579744 1.41948142327547 0.0692640692640693 1 1 "SBF2/PECAM1/FMN2/SBF2/ARHGAP32/MYO1C/DENND1A/ATAD3B/ATP8B4/VPS4A/WNT5A/CLIP1/STARD3/MYO6/FMN2/SLC26A6/CD44/PIP5K1C/NCALD" 143
"GOCC_CATALYTIC_COMPLEX" "GOCC_CATALYTIC_COMPLEX" 30 -0.430082327117643 -1.41264988775785 0.0591497227356747 1 1 "PHC2/SHARPIN/NSMCE4A/LYRM4/TRERF1/ILVBL/ING1/DEK/TRPC4AP/MSL2" 76
"GOBP_PEPTIDE_METABOLIC_PROCESS" "GOBP_PEPTIDE_METABOLIC_PROCESS" 16 -0.493937101967929 -1.40375410842188 0.0836363636363636 1 1 "BIN1/LVRN/TNKS1BP1/ERAP1/CHAC2/SSB" 71
"GOBP_CANONICAL_WNT_SIGNALING_PATHWAY" "GOBP_CANONICAL_WNT_SIGNALING_PATHWAY" 11 0.531745196723984 1.39794443634744 0.103225806451613 1 1 "SMAD3/MCC/STK3/MCC" 54
"GOBP_REGULATION_OF_CELL_DIFFERENTIATION" "GOBP_REGULATION_OF_CELL_DIFFERENTIATION" 32 0.391111898367325 1.38969473312998 0.0732758620689655 1 1 "HOXB4/XKR8/MTA2/SMAD3/STAU2/STK3/RAPGEF2/RTN4/PPARG/CITED1/ANKRD17/TMEM182" 80
"GOBP_EMBRYO_DEVELOPMENT" "GOBP_EMBRYO_DEVELOPMENT" 29 0.401785316805354 1.38304636230626 0.0899122807017544 1 1 "DEAF1/HOXB4/HOXB5/SMAD3/THOC5/STK3/HINFP/SH3PXD2A/RTN4/CITED1" 66
"GOBP_LIPID_LOCALIZATION" "GOBP_LIPID_LOCALIZATION" 10 0.545958820782041 1.38296028521538 0.115973741794311 1 1 "PNPLA2/XKR8/PPARG/ATP8B4/VPS4A/STARD3" 105
"GOMF_PROTEIN_SERINE_KINASE_ACTIVITY" "GOMF_PROTEIN_SERINE_KINASE_ACTIVITY" 10 0.544913483355058 1.38031235630364 0.115973741794311 1 1 "STK32C/STK36/STK3/CDKL1" 61
"GOMF_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING" "GOMF_RNA_POLYMERASE_II_TRANSCRIPTION_REGULATORY_REGION_SEQUENCE_SPECIFIC_DNA_BINDING" 34 0.387363984529045 1.37831909135112 0.0786026200873362 1 1 "DEAF1/ZNF449/HOXB4/HOXB5/ZNF605/SMAD3/ZNF782/HINFP/THRA/PPARG/ZNF518A" 63
"GOBP_HISTONE_MODIFICATION" "GOBP_HISTONE_MODIFICATION" 13 -0.512444156877535 -1.37312178159626 0.109848484848485 1 1 "BCL6/TRERF1/SIRT7/MTHFR/DEK/MSL2" 79
"GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_METABOLIC_PROCESS" "GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_METABOLIC_PROCESS" 16 -0.482906876868545 -1.37240654668095 0.0909090909090909 1 1 "MGAT1/ATP1A2/DPYSL3/ACSL1/FMO1/PGM3/PANK1" 99
"GOBP_CELLULAR_LIPID_CATABOLIC_PROCESS" "GOBP_CELLULAR_LIPID_CATABOLIC_PROCESS" 10 0.541416744977247 1.37145481958068 0.12253829321663 1 1 "PNPLA2/AUH/ACADL/ACAD11/CRAT" 72
"REACTOME_INNATE_IMMUNE_SYSTEM" "REACTOME_INNATE_IMMUNE_SYSTEM" 12 0.502544427948619 1.35688751148439 0.107991360691145 1 1 "PECAM1/MYO1C/ATAD3B/ATP8B4" 67
"GOCC_TRANSFERASE_COMPLEX" "GOCC_TRANSFERASE_COMPLEX" 17 -0.465744365508855 -1.35319314678292 0.112727272727273 1 1 "FBXO31/CCNJ/JADE2/NEDD4/PHC2/SHARPIN/NSMCE4A/ILVBL/TRPC4AP/MSL2" 145
"GOMF_LIPID_BINDING" "GOMF_LIPID_BINDING" 24 0.416993899334578 1.34406090060527 0.0928074245939675 1 1 "SBF2/SBF2/ARHGAP32/CYTH1/DENND1A/RAPGEF2/SH3PXD2A/PPARG/ACADL/VEPH1/WNT5A/PAQR5/STARD3" 105
"GOMF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY" "GOMF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY" 11 0.509497540871816 1.33945592171314 0.135483870967742 1 1 "SBF2/SBF2/CYTH1/DENND1A/RAPGEF2" 52
"GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY" "GOMF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY" 34 0.376327564855012 1.33904928686638 0.0982532751091703 1 1 "DEAF1/ZNF449/HOXB4/HOXB5/ZNF77/SMAD3/ZNF782/HINFP/THRA/PPARG/ZNF518A" 63
"GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II" "GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II" 27 0.398817154664599 1.32775418822266 0.114219114219114 1 1 "DEAF1/HOXB4/ZNF77/MTA2/SMAD3/HINFP/THRA/PPARG" 62
"GOMF_TRANSCRIPTION_REGULATOR_ACTIVITY" "GOMF_TRANSCRIPTION_REGULATOR_ACTIVITY" 46 0.344526002929803 1.31937762372172 0.0839160839160839 1 1 "DEAF1/ZNF449/HOXB4/HOXB5/ZNF77/MTA2/SMAD3/ZNF782/HINFP/THRA/PPARG/ZNF518A/CITED1" 66
"GOMF_SEQUENCE_SPECIFIC_DNA_BINDING" "GOMF_SEQUENCE_SPECIFIC_DNA_BINDING" 42 0.347527924272882 1.3189279349956 0.0842572062084257 1 1 "DEAF1/ZNF449/HOXB4/HOXB5/ZNF605/MTA2/SMAD3/ZNF782/HINFP/THRA/PPARG/ZNF518A" 63
"GOMF_DNA_BINDING_TRANSCRIPTION_ACTIVATOR_ACTIVITY" "GOMF_DNA_BINDING_TRANSCRIPTION_ACTIVATOR_ACTIVITY" 12 0.488453305342378 1.31884098818445 0.129589632829374 1 1 "HOXB5/SMAD3/ZNF782/HINFP" 53
"GOMF_UBIQUITIN_LIKE_PROTEIN_TRANSFERASE_ACTIVITY" "GOMF_UBIQUITIN_LIKE_PROTEIN_TRANSFERASE_ACTIVITY" 11 -0.515162743175773 -1.31744620018753 0.156424581005587 1 1 "SHARPIN/SH3RF3/PDZRN3/MSL2" 8
"GOMF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY" "GOMF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY" 11 0.496767181514089 1.30598813461045 0.152688172043011 1 1 "STK32C/STK36/STK3/CDKL1" 61
"GOMF_TRANSCRIPTION_FACTOR_BINDING" "GOMF_TRANSCRIPTION_FACTOR_BINDING" 13 0.469336397754382 1.30201720718001 0.147679324894515 1 1 "MTA2/SMAD3/STK36/THRA/PPARG" 62
"GOBP_MUSCLE_STRUCTURE_DEVELOPMENT" "GOBP_MUSCLE_STRUCTURE_DEVELOPMENT" 18 0.429288751474585 1.2981971029982 0.148471615720524 1 1 "XKR8/SMAD3/HINFP/ANKRD17/TMEM182/QKI/WNT5A/SMYD3" 98
"GOBP_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND" "GOBP_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND" 14 -0.46850091623381 -1.29753147403214 0.165745856353591 1 1 "FOXP1/NEDD4/ATP1A2/ACSL1/TRERF1/MTHFR/TP53I13/CASQ2/TWIST2" 134
"GOBP_CELL_PROJECTION_ASSEMBLY" "GOBP_CELL_PROJECTION_ASSEMBLY" 18 0.428638567502907 1.29623090438351 0.150655021834061 1 1 "STK36/STAU2/RAPGEF2/CDKL1/PMP22/ARHGEF6" 91
"GOMF_PHOSPHATIDYLINOSITOL_BINDING" "GOMF_PHOSPHATIDYLINOSITOL_BINDING" 10 0.507110238403201 1.28455351070829 0.172866520787746 1 1 "SBF2/SBF2/ARHGAP32/DENND1A/SH3PXD2A" 59
"GOMF_RNA_BINDING" "GOMF_RNA_BINDING" 26 0.387589992130571 1.28117187865614 0.143192488262911 1 1 "ZC3H12C/PRKRIP1/STAU2/ZNF638/AUH/THOC5/CCDC9/RTN4/THUMPD2/ANKRD17/QKI/TNRC6B" 86
"GOBP_POSITIVE_REGULATION_OF_HYDROLASE_ACTIVITY" "GOBP_POSITIVE_REGULATION_OF_HYDROLASE_ACTIVITY" 10 0.502837470003303 1.27373022371292 0.179431072210066 1 1 "SMAD3/RAPGEF2/PPARG/WNT5A/BID/PTPA/BCAR3" 141
"GOBP_CELLULAR_MACROMOLECULE_CATABOLIC_PROCESS" "GOBP_CELLULAR_MACROMOLECULE_CATABOLIC_PROCESS" 24 -0.399700393563878 -1.26841780675846 0.162872154115587 1 1 "USP25/SHARPIN/TNKS1BP1/TRPC4AP/USP24/SH3RF3/SSB" 73
"GOBP_VESICLE_MEDIATED_TRANSPORT" "GOBP_VESICLE_MEDIATED_TRANSPORT" 38 0.34201927312282 1.2584515696693 0.135857461024499 1 1 "PECAM1/IL13RA2/FMN2/XKR8/CYTH1/DENND1A/HOOK2/GOLGA2/TMCC1/VPS4A/WNT5A/EHBP1/STARD3/MYO6/FMN2" 119
"REACTOME_PHOSPHOLIPID_METABOLISM" "REACTOME_PHOSPHOLIPID_METABOLISM" 12 0.46474393540744 1.25482486109057 0.183585313174946 1 1 "SBF2/PNPLA2/SBF2" 18
"GOMF_PHOSPHORIC_ESTER_HYDROLASE_ACTIVITY" "GOMF_PHOSPHORIC_ESTER_HYDROLASE_ACTIVITY" 14 -0.452956706330674 -1.25448118130184 0.191528545119705 1 1 "ENPP2/DUSP12/MTMR1/PLD1/LPIN1/PLCD1/INPP4B/ATP1A2/PTPN1/PGAM5" 182
"GOBP_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS" "GOBP_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS" 24 0.389108343909278 1.25417976613636 0.164733178654292 1 1 "SMAD3/MYO1C/STAU2/RAPGEF2/THRA/CDKL1/VPS4A/LIMCH1/WNT5A/CLIP1/BID/SVIL" 127
"GOCC_INTRACELLULAR_PROTEIN_CONTAINING_COMPLEX" "GOCC_INTRACELLULAR_PROTEIN_CONTAINING_COMPLEX" 20 -0.412814202944713 -1.24839268353334 0.186346863468635 1 1 "SIAH1/TRAPPC13/FBXW8/CCT6B/FBXO31/PRR5L/JADE2/NEDD4/PHC2/SHARPIN/TNKS1BP1/TRPC4AP/MSL2" 145
"REACTOME_METABOLISM_OF_LIPIDS" "REACTOME_METABOLISM_OF_LIPIDS" 22 0.390203547358092 1.24673446808596 0.177927927927928 1 1 "SBF2/PNPLA2/SBF2/PPARG/ACADL/ACAD11/CRAT/SLC22A5" 82
"GOBP_CELL_JUNCTION_ORGANIZATION" "GOBP_CELL_JUNCTION_ORGANIZATION" 20 0.394361625726057 1.23702893261029 0.197826086956522 1 1 "PECAM1/SMAD3/MYO1C/STAU2/MPDZ/RAPGEF2" 52
"GOMF_PHOSPHATASE_ACTIVITY" "GOMF_PHOSPHATASE_ACTIVITY" 10 -0.493429628843874 -1.23364431585826 0.218348623853211 1 1 "DUSP12/MTMR1/LPIN1/INPP4B/ATP1A2/PTPN1/PGAM5" 137
"GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS" "GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS" 29 -0.378446583271376 -1.23260044833877 0.164835164835165 1 1 "SH3KBP1/FBXO31/FOXP1/GPC3/NEDD4/KANK1/EPB41L3/RUFY3/BCL6/SYNE3/FGF1/CLASP2/PGAM5/ERAP1/DIXDC1/TNMD/FMNL2" 86
"GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS" "GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS" 12 -0.468271284695458 -1.2322313324752 0.215213358070501 1 1 "TNKS1BP1/CHAC2/SSB" 52
"GOBP_EPITHELIAL_CELL_PROLIFERATION" "GOBP_EPITHELIAL_CELL_PROLIFERATION" 11 0.468499813660976 1.23167395205854 0.202150537634409 1 1 "DEAF1/SMAD3/MCC/STK3/MCC/RTN4/PPARG" 62
"GOBP_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS" "GOBP_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS" 35 -0.362978065692996 -1.23073886068131 0.161764705882353 1 1 "B4GALT6/MGAT1/ACSL1/FMO1/CHST11/PGM3/ILVBL/TNKS1BP1/MTHFR/PANK1/HS2ST1/CHAC2/SSB" 103
"GOBP_AMIDE_METABOLIC_PROCESS" "GOBP_AMIDE_METABOLIC_PROCESS" 23 -0.389703567138719 -1.22810629117354 0.192170818505338 1 1 "B4GALT6/ACSL1/BIN1/LVRN/TNKS1BP1/ERAP1/CHAC2/SSB" 103
"GOBP_CELL_DIVISION" "GOBP_CELL_DIVISION" 14 0.431400688984125 1.22604399408876 0.187363834422658 1 1 "ZNF449/HOXB4/FMN2/TTC28/GOLGA2/VPS4A" 78
"GOMF_MOLECULAR_FUNCTION_INHIBITOR_ACTIVITY" "GOMF_MOLECULAR_FUNCTION_INHIBITOR_ACTIVITY" 21 0.389016243467311 1.22575376927473 0.2152466367713 1 1 "SBF2/PRKRIP1/SBF2/CYTH1/DENND1A/RAPGEF2" 52
"GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS" "GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS" 15 -0.438191196806781 -1.22470989369668 0.211009174311927 1 1 "USP25/SHARPIN/TRPC4AP/USP24/SH3RF3" 73
"GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS" "GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS" 42 0.31924986012458 1.21160784314736 0.195121951219512 1 1 "DEAF1/HOXB4/ZNF77/MTA2/SMAD3/DEDD2/RAPGEF2/HINFP/THRA/PPARG/ACADL/CITED1" 66
"GOBP_EPITHELIUM_DEVELOPMENT" "GOBP_EPITHELIUM_DEVELOPMENT" 32 0.339091728413519 1.20485720580568 0.200431034482759 1 1 "DEAF1/HOXB4/HOXB5/PECAM1/C1GALT1/SMAD3/STK3/RAPGEF2/THRA/RTN4/PPARG/CITED1" 66
"GOBP_POSITIVE_REGULATION_OF_CELL_DEATH" "GOBP_POSITIVE_REGULATION_OF_CELL_DEATH" 16 0.40838291470577 1.20388347755122 0.205752212389381 1 1 "TMEM164/STK3/DEDD2/RAPGEF2/PPARG/WNT5A/BID/PTPA" 122
"GOBP_REGULATION_OF_TRANSMEMBRANE_TRANSPORT" "GOBP_REGULATION_OF_TRANSMEMBRANE_TRANSPORT" 13 -0.448847976997341 -1.20271238449843 0.231060606060606 1 1 "GPC3/NEDD4/CACNA2D1/ATP1A2/ACSL1/FHL1/BIN1/CASQ2" 123
"REACTOME_MEMBRANE_TRAFFICKING" "REACTOME_MEMBRANE_TRAFFICKING" 22 0.376389994158634 1.20259895722988 0.238738738738739 1 1 "SBF2/SBF2/NAA38/MYO1C/CYTH1/DENND1A/GOLGA2/VPS4A" 78
"REACTOME_VESICLE_MEDIATED_TRANSPORT" "REACTOME_VESICLE_MEDIATED_TRANSPORT" 22 0.376389994158634 1.20259895722988 0.238738738738739 1 1 "SBF2/SBF2/NAA38/MYO1C/CYTH1/DENND1A/GOLGA2/VPS4A" 78
"REACTOME_TRANSPORT_OF_SMALL_MOLECULES" "REACTOME_TRANSPORT_OF_SMALL_MOLECULES" 15 -0.429450563339581 -1.20028051135749 0.229357798165138 1 1 "SLC7A8/SLC9A5/SLC6A6/ATP11C/SLC16A7/ATP1A2/SLC1A4/TRPC4AP/CASQ2" 25
"GOMF_PROTEIN_CONTAINING_COMPLEX_BINDING" "GOMF_PROTEIN_CONTAINING_COMPLEX_BINDING" 29 -0.368387709111738 -1.19983869715112 0.201465201465201 1 1 "SVIL/TEF/SYNE3/BIN1/SHARPIN/PTPN1/TNKS1BP1/FGF1/BRD4/PGAM5/MTHFR/FMNL2" 80
"GOBP_TRANSMEMBRANE_TRANSPORT" "GOBP_TRANSMEMBRANE_TRANSPORT" 31 -0.363958604200528 -1.19874833533427 0.211111111111111 1 1 "SLC25A45/PLCD1/GPC3/ATP11C/NEDD4/SLC16A7/CACNA2D1/ATP1A2/ACSL1/FHL1/BIN1/TOMM40L/SLC1A4/TRPC4AP/CASQ2" 130
"GOBP_VIRAL_PROCESS" "GOBP_VIRAL_PROCESS" 10 -0.47675451729926 -1.19195416315804 0.264220183486239 1 1 "IFITM1/NEDD4/MGAT1/VAMP8/DEK/SSB" 136
"GOBP_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND" "GOBP_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND" 33 -0.353465757117911 -1.19044369418693 0.211678832116788 1 1 "LPIN1/FOXP1/NEDD4/KANK1/CACNA2D1/ATP1A2/ACSL1/FMO1/SPON2/PTPN1/TRERF1/SBNO2/MTHFR/ZNF236/CASQ2/TWIST2" 137
"GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" "GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS" 20 -0.393505429431936 -1.19000096297381 0.226937269372694 1 1 "VAMP8/BCL6/SHARPIN/PTPN1/SBNO2/FGF1/BRD4/CLASP2/ERAP1" 87
"GOBP_CARBOHYDRATE_METABOLIC_PROCESS" "GOBP_CARBOHYDRATE_METABOLIC_PROCESS" 18 -0.404599703526765 -1.18978138469266 0.246323529411765 1 1 "INPP4B/B4GALT6/CHST11/PGM3/SIRT7/GYG2/HS2ST1" 105
"GOCC_ORGANELLE_INNER_MEMBRANE" "GOCC_ORGANELLE_INNER_MEMBRANE" 14 0.418250328922548 1.1886705721511 0.228758169934641 1 1 "SMAD3/ATAD3B/ACAD11/CRAT/SLC25A37/NDUFAF5/SLC25A36" 102
"GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT" "GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT" 20 -0.391371863227558 -1.18354883894227 0.238007380073801 1 1 "PLCD1/ATP11C/NEDD4/CACNA2D1/ATP1A2/FHL1/BIN1/SLC1A4/TRPC4AP/CASQ2" 127
"GOMF_PHOSPHOLIPID_BINDING" "GOMF_PHOSPHOLIPID_BINDING" 16 0.399765264672885 1.17847926470019 0.221238938053097 1 1 "SBF2/SBF2/ARHGAP32/DENND1A/RAPGEF2/SH3PXD2A" 59
"GOBP_APOPTOTIC_SIGNALING_PATHWAY" "GOBP_APOPTOTIC_SIGNALING_PATHWAY" 11 0.447644526452865 1.17684593875325 0.245161290322581 1 1 "SMAD3/STK3/DEDD2" 49
"GOMF_PROTEIN_KINASE_ACTIVITY" "GOMF_PROTEIN_KINASE_ACTIVITY" 13 0.424143007398986 1.17664322771652 0.248945147679325 1 1 "STK32C/STK36/STK3/CDKL1" 61
"GOBP_NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION" "GOBP_NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION" 16 0.397666354063607 1.17229182709598 0.223451327433628 1 1 "SMAD3/RAPGEF2/RTN4/PPARG/CITED1/ANKRD17/TMEM182/WNT5A" 97
"GOCC_MITOCHONDRION" "GOCC_MITOCHONDRION" 45 0.307727722175588 1.17140742239346 0.19953596287703 1 1 "CA5B/SELENOO/SUGCT/AUH/ATAD3B/ACADL/ACAD11/CRAT/PC/SLC25A37/ADHFE1/PDF/NDUFAF5/MTRF1/SLC25A36/STARD3/MUTYH/GLYCTK/NUDT6/BID/OXR1/MIGA2/NUBPL/FPGS" 137
