userSet	dbSet	collection	pValueLog	oddsRatio	support	rnkPV	rnkOR	rnkSup	maxRnk	meanRnk	b	c	d	description	cellType	tissue	antibody	treatment	dataSource	filename	size
1	3545	RXRA	1.50328900916502	1.66770517795352	45	36	356	383	383	258	30	159	177	RXRA liver RXRA	liver	BTO:0000759	RXRA		GTRD	EXP045021_liver_RXRA_MACS_RXRA_MA0159.1.damo.pwm.bed	40103
1	3713	SRF	1.49086866696037	7.29191889888432	7	37	82	2812	2812	977	1	197	206	SRF HEL (Erythro Leukemia) SRF	HEL (Erythro Leukemia)	NULL	SRF	Treatment: No treatment, no TPA  Source: HEL-iMKL1 cells	GTRD	EXP053072_HEL--Erythro-Leukemia-_SRF_MACS_SRF_MA0083.3.damo.pwm.bed	3350
1	3714	SRF	1.49086866696037	7.29191889888432	7	37	82	2812	2812	977	1	197	206	SRF HEL (Erythro Leukemia) SRF	HEL (Erythro Leukemia)	NULL	SRF	Treatment: Treated with 10ng/ml Dox for 24 hours Source: HEL-iMKL1 cells	GTRD	EXP053073_HEL--Erythro-Leukemia-_SRF_MACS_SRF_MA0083.3.damo.pwm.bed	5115
1	389	CEBPB	1.48397640678071	2.65274075219484	15	39	138	1993	1993	723	6	189	201	CEBPB THP-1 (acute monocytic leukemia) CEBPB	THP-1 (acute monocytic leukemia)	BTO:0001370	CEBPB	Treatment: untreated, IAV NS1(EP mRNA)	GTRD	EXP047815_THP-1--acute-monocytic-leukemia-_CEBPB_MACS_CEBPB_MA0466.2.damo.pwm.bed	18251
1	1224	ESR1	1.47749656904458	3.16365590660805	12	40	104	2233	2233	792	4	192	203	ESR1 endometrioid adenocarcinoma ESR1	endometrioid adenocarcinoma	NULL	ESR1	tumor B	GTRD	EXP036415_endometrioid-adenocarcinoma_ESR1_MACS_ESR1_MA0112.3.damo.pwm.bed	4921
1	344	CEBPA	1.47101430051041	1.80179297946054	33	41	308	778	778	376	20	171	187	CEBPA THP-1 (acute monocytic leukemia) CEBPA	THP-1 (acute monocytic leukemia)	BTO:0001370	CEBPA	Treatment: 100 nM 1,25(OH)2D3 for 24 hrs	GTRD	EXP053366_THP-1--acute-monocytic-leukemia-_CEBPA_MACS_CEBPA_MA0019.1.damo.pwm.bed	52197
1	3418	REST	1.45575325628091	1.89620160377332	28	42	292	1068	1068	467	16	176	191	REST liver REST	liver	BTO:0000759	REST		GTRD	EXP039422_liver_REST_MACS_REST_MA0138.2.damo.pwm.bed	13352
1	384	CEBPB	1.38537082368796	3.49560176766756	10	43	100	2442	2442	862	3	194	204	CEBPB OCI-AML3 CEBPB	OCI-AML3	BTO:0004620	CEBPB	Control No Treatment	GTRD	EXP040655_OCI-AML3_CEBPB_MACS_CEBPB_MA0466.2.damo.pwm.bed	8826
1	3439	RFX1	1.38537082368796	3.49560176766756	10	43	100	2442	2442	862	3	194	204	RFX1 MCF7 (Invasive ductal breast carcinoma) RFX1	MCF7 (Invasive ductal breast carcinoma)	BTO:0000093	RFX1	NA	GTRD	EXP039775_MCF7--Invasive-ductal-breast-carcinoma-_RFX1_MACS_RFX1_MA0509.2.damo.pwm.bed	10102
1	2610	JUND	1.38470991867944	1.92233836231586	25	45	287	1262	1262	531	14	179	193	JUND liver JUND	liver	BTO:0000759	JUND		GTRD	EXP039345_liver_JUND_MACS_JUND_MA0491.2.damo.pwm.bed	17620
1	3205	OTX2	1.38470991867944	1.92233836231586	25	45	287	1262	1262	531	14	179	193	OTX2 D341 Med (medulloblastoma) OTX2	D341 Med (medulloblastoma)	NULL	OTX2	CRISPR.OTX2.2	GTRD	EXP038204_D341-Med--medulloblastoma-_OTX2_MACS_OTX2_MA0712.2.damo.pwm.bed	44120
1	1898	GATA1	1.38088389344944	2.7433671048521	13	47	136	2153	2153	779	5	191	202	GATA1 K562 (myelogenous leukemia) GATA1	K562 (myelogenous leukemia)	NULL	GATA1	NULL	GTRD	EXP000523_K562--myelogenous-leukemia-_GATA1_MACS_GATA1_MA0035.4.damo.pwm.bed	13610
1	1252	ESR1	1.34837973934839	2.25703833708668	17	48	175	1846	1846	690	8	187	199	ESR1 MCF7 (Invasive ductal breast carcinoma) ESR1	MCF7 (Invasive ductal breast carcinoma)	BTO:0000093	ESR1	320min E2	GTRD	EXP038342_MCF7--Invasive-ductal-breast-carcinoma-_ESR1_MACS_ESR1_MA0112.3.damo.pwm.bed	30630
1	347	CEBPA	1.32078607906409	1.55185940992339	49	49	395	299	395	248	35	155	172	CEBPA Kasumi-1 (acute myeloblastic leukemia) CEBPA	Kasumi-1 (acute myeloblastic leukemia)	BTO:0004136	CEBPA		GTRD	EXP058118_Kasumi-1--acute-myeloblastic-leukemia-_CEBPA_MACS_CEBPA_MA0102.4.damo.pwm.bed	64358
1	335	CEBPA	1.32028825400115	1.81832947664287	27	50	307	1135	1135	497	16	177	191	CEBPA THP-1 (acute monocytic leukemia) CEBPA	THP-1 (acute monocytic leukemia)	BTO:0001370	CEBPA	Treatment: 0.1 % EtOH for 2 hrs	GTRD	EXP053361_THP-1--acute-monocytic-leukemia-_CEBPA_MACS_CEBPA_MA0102.4.damo.pwm.bed	43181
1	1834	FOXA2	1.31589391485095	1.96110140100492	22	51	282	1459	1459	597	12	182	195	FOXA2 definitive endoderm(dEN, ES derived) FOXA2	definitive endoderm(dEN, ES derived)	NULL	FOXA2	Treatment: to induce FOXA2, doxycycline was added at 5ug/mL	GTRD	EXP049292_definitive-endoderm-dEN--ES-derived-_FOXA2_MACS_FOXA2_MA0047.3.damo.pwm.bed	44513
1	2614	JUND	1.31589391485095	1.96110140100492	22	51	282	1459	1459	597	12	182	195	JUND liver JUND	liver	BTO:0000759	JUND		GTRD	EXP039345_liver_JUND_MACS_JUND_MA1144.1.damo.pwm.bed	15576
1	332	CEBPA	1.30928430919579	1.54055825023683	50	53	405	275	405	244	36	154	171	CEBPA U937 (adult acute monocytic leukemia) CEBPA	U937 (adult acute monocytic leukemia)	BTO:0001412	CEBPA		GTRD	EXP053324_U937--adult-acute-monocytic-leukemia-_CEBPA_MACS_CEBPA_MA0019.1.damo.pwm.bed	96696
1	1899	GATA1	1.303734136004	2.46324931108914	14	54	155	2073	2073	761	6	190	201	GATA1 K562 (myelogenous leukemia) GATA1	K562 (myelogenous leukemia)	NULL	GATA1	NULL	GTRD	EXP000523_K562--myelogenous-leukemia-_GATA1_MACS_GATA1_MA0140.2.damo.pwm.bed	14159
1	1192	ESR1	1.295525872425	2.12524163262948	18	55	179	1785	1785	673	9	186	198	ESR1 MCF7 (Invasive ductal breast carcinoma) ESR1	MCF7 (Invasive ductal breast carcinoma)	BTO:0000093	ESR1	vehicle	GTRD	EXP030929_MCF7--Invasive-ductal-breast-carcinoma-_ESR1_MACS_ESR1_MA0112.3.damo.pwm.bed	20054
1	1160	ESR1	1.27823074360217	2.88551536782835	11	56	131	2332	2332	840	4	193	203	ESR1 MCF7 (Invasive ductal breast carcinoma) ESR1	MCF7 (Invasive ductal breast carcinoma)	BTO:0000093	ESR1		Array Express	ERP000209_esr1_mcf7_MACS_ESR1_MA0112.3.damo.pwm.bed	15953
1	1980	GATA3	1.27823074360217	2.88551536782835	11	56	131	2332	2332	840	4	193	203	GATA3 T47D (invasive ductal carcinoma) GATA3	T47D (invasive ductal carcinoma)	BTO:0001248	GATA3	Passsage: <10 Genotype: wt/R330fs mutant with CRISPR	GTRD	EXP049898_T47D--invasive-ductal-carcinoma-_GATA3_MACS_GATA3_MA0037.3.damo.pwm.bed	13449
1	3294	PPARG	1.2498213298177	2.01983690647066	19	58	279	1697	1697	678	10	185	197	PPARG subcutaneous white adipose tissue PPARG	subcutaneous white adipose tissue	NULL	PPARG		GTRD	EXP034436_subcutaneous-white-adipose-tissue_PPARG_MACS_PPARG_MA0065.2.damo.pwm.bed	5421
1	3239	PKNOX1	1.24048596098468	2.26323116715553	15	59	173	1993	1993	742	7	189	200	PKNOX1 HeLa (cervical adenocarcinoma) PKNOX1	HeLa (cervical adenocarcinoma)	BTO:0000567	PKNOX1	NA	GTRD	EXP047569_HeLa--cervical-adenocarcinoma-_PKNOX1_MACS_PKNOX1_MA0782.2.damo.pwm.bed	5710
1	3355	RELA	1.24048596098468	2.26323116715553	15	59	173	1993	1993	742	7	189	200	RELA MCF7 (Invasive ductal breast carcinoma) RELA	MCF7 (Invasive ductal breast carcinoma)	BTO:0000093	RELA	TNFa for 45m	GTRD	EXP036987_MCF7--Invasive-ductal-breast-carcinoma-_RELA_MACS_RELA_MA0107.1.damo.pwm.bed	11030
1	1659	FOXA1	1.23542246844819	1.47026077031181	58	61	480	154	480	232	44	146	163	FOXA1 LNCaP (prostate carcinoma) FOXA1	LNCaP (prostate carcinoma)	BTO:0001321	FOXA1	10 nm DHT	GTRD	EXP033301_LNCaP--prostate-carcinoma-_FOXA1_MACS_FOXA1_MA0148.4.damo.pwm.bed	187434
1	249	ATF3	1.2233355174868	Inf	4	62	1	3182	3182	1080	0	200	207	ATF3 K562 (myelogenous leukemia) ATF3	K562 (myelogenous leukemia)	NULL	ATF3		ENCODE	ENCSR000DOG_K562_ATF3_MACS_ATF3_MA0605.2.damo.pwm.bed	548
1	2046	GFI1	1.2233355174868	Inf	4	62	1	3182	3182	1080	0	200	207	GFI1 AML (monocytes and acute myeloid leukemia) GFI1	AML (monocytes and acute myeloid leukemia)	NULL	GFI1	Treatment: LSD1 inhibitor OG86	GTRD	EXP049355_AML--monocytes-and-acute-myeloid-leukemia-_GFI1_MACS_GFI1_MA0038.2.damo.pwm.bed	1542
1	314	CEBPA	1.21736989217236	1.78519312983335	25	64	319	1262	1262	548	15	179	192	CEBPA U937 (adult acute monocytic leukemia) CEBPA	U937 (adult acute monocytic leukemia)	BTO:0001412	CEBPA	dmso	GTRD	EXP000947_U937--adult-acute-monocytic-leukemia-_CEBPA_MACS_CEBPA_MA0102.4.damo.pwm.bed	43146
1	601	CTCF	1.21736989217236	1.78519312983335	25	64	319	1262	1262	548	15	179	192	CTCF CD4+ T-cells CTCF	CD4+ T-cells	NULL	CTCF		GTRD	EXP030880_CD4--T-cells_CTCF_MACS_CTCF_MA0139.1.damo.pwm.bed	22927
1	1950	GATA2	1.21736989217236	1.78519312983335	25	64	319	1262	1262	548	15	179	192	GATA2 LNCaP (prostate carcinoma) GATA2	LNCaP (prostate carcinoma)	BTO:0001321	GATA2		GEO	GSE52725_gata2_lncap_MACS_GATA2_MA0036.3.damo.pwm.bed	59875
1	2612	JUND	1.21736989217236	1.78519312983335	25	64	319	1262	1262	548	15	179	192	JUND liver JUND	liver	BTO:0000759	JUND		GTRD	EXP039345_liver_JUND_MACS_JUND_MA1141.1.damo.pwm.bed	18585
1	3305	PRDM1	1.20986839367296	1.93368631149848	20	68	285	1606	1606	653	11	184	196	PRDM1 HEK293 (embryonic kidney) PRDM1	HEK293 (embryonic kidney)	NULL	PRDM1		GTRD	EXP039715_HEK293--embryonic-kidney-_PRDM1_MACS_PRDM1_MA0508.3.damo.pwm.bed	15602
1	3871	TFAP2A	1.20986839367296	1.93368631149848	20	68	285	1606	1606	653	11	184	196	TFAP2A MCF7 (Invasive ductal breast carcinoma) TFAP2A	MCF7 (Invasive ductal breast carcinoma)	BTO:0000093	TFAP2A		GEO	GSE60270_tfap2a_mcf7_MACS_TFAP2A_MA0872.1.damo.pwm.bed	9161
1	342	CEBPA	1.20130025378369	1.64582929714502	32	70	367	825	825	421	21	172	186	CEBPA THP-1 (acute monocytic leukemia) CEBPA	THP-1 (acute monocytic leukemia)	BTO:0001370	CEBPA	Treatment: 0.1 % EtOH for 24 hrs	GTRD	EXP053365_THP-1--acute-monocytic-leukemia-_CEBPA_MACS_CEBPA_MA0019.1.damo.pwm.bed	50732
1	2749	MEIS1	1.19639026122022	2.51960239956809	12	71	154	2233	2233	819	5	192	202	MEIS1 SEM (childhood B acute lymphoblastic leukemia) MEIS1	SEM (childhood B acute lymphoblastic leukemia)	NULL	MEIS1	NA	GEO	GSE38339_meis1_sem_MACS_MEIS1_MA0498.2.damo.pwm.bed	11850
1	1500	FLI1	1.18756335279517	2.11328490095638	16	72	180	1909	1909	720	8	188	199	FLI1 A-673 clone Asp114 (Ewing sarcoma) FLI1	A-673 clone Asp114 (Ewing sarcoma)	NULL	FLI1	Passage: 15-19	GTRD	EXP049959_A-673-clone-Asp114--Ewing-sarcoma-_FLI1_MACS_FLI1_MA0475.2.damo.pwm.bed	12717
1	3441	RFX1	1.17627904257442	3.13043248714826	9	73	105	2564	2564	914	3	195	204	RFX1 K562 (myelogenous leukemia) RFX1	K562 (myelogenous leukemia)	NULL	RFX1	NA	GTRD	EXP039819_K562--myelogenous-leukemia-_RFX1_MACS_RFX1_MA0509.2.damo.pwm.bed	10739
1	794	CTCF	1.17461963468391	1.8619548356126	21	74	294	1535	1535	634	12	183	195	CTCF KMS-11 (Plasma cell myeloma) CTCF	KMS-11 (Plasma cell myeloma)	BTO:0003932	CTCF		GTRD	EXP040254_KMS-11--Plasma-cell-myeloma-_CTCF_MACS_CTCF_MA0139.1.damo.pwm.bed	29708
1	2137	HNF4A	1.17252016758936	1.52803002153917	42	75	449	454	454	326	30	162	177	HNF4A liver HNF4A	liver	BTO:0000759	HNF4A		GTRD	EXP039987_liver_HNF4A_MACS_HNF4A_MA1494.1.damo.pwm.bed	47525
1	334	CEBPA	1.16629573611572	1.70267261857945	27	76	351	1135	1135	521	17	177	190	CEBPA THP-1 (acute monocytic leukemia) CEBPA	THP-1 (acute monocytic leukemia)	BTO:0001370	CEBPA	Treatment: 0.1 % EtOH for 2 hrs	GTRD	EXP053361_THP-1--acute-monocytic-leukemia-_CEBPA_MACS_CEBPA_MA0019.1.damo.pwm.bed	41403
1	312	CEBPA	1.16529990391919	1.59815849025787	34	77	378	729	729	395	23	170	184	CEBPA U937 (adult acute monocytic leukemia) CEBPA	U937 (adult acute monocytic leukemia)	BTO:0001412	CEBPA	bio	GTRD	EXP000946_U937--adult-acute-monocytic-leukemia-_CEBPA_MACS_CEBPA_MA0102.4.damo.pwm.bed	63716
1	2022	GATA4	1.14327308943261	1.80131674836028	22	78	309	1459	1459	615	13	182	194	GATA4 BJ (fibroblasts) GATA4	BJ (fibroblasts)	NULL	GATA4	Genotype: V5-untarged	GTRD	EXP049304_BJ--fibroblasts-_GATA4_MACS_GATA4_MA0482.2.damo.pwm.bed	104447
1	4135	YY1	1.14254815539994	1.99669033122539	17	79	280	1846	1846	735	9	187	198	YY1 lymphoblastoid cells YY1	lymphoblastoid cells	NULL	YY1		GTRD	EXP038605_lymphoblastoid-cells_YY1_MACS_YY1_MA0095.2.damo.pwm.bed	4795
1	1949	GATA2	1.08991488368461	1.70445150264162	24	80	350	1324	1324	585	15	180	192	GATA2 LNCaP (prostate carcinoma) GATA2	LNCaP (prostate carcinoma)	BTO:0001321	GATA2		GEO	GSE38391_gata2_lncap_MACS_GATA2_MA0036.3.damo.pwm.bed	57820
1	2150	HNF4G	1.08766805848833	2.61020502816831	10	81	139	2442	2442	887	4	194	203	HNF4G liver HNF4G	liver	BTO:0000759	HNF4G		GTRD	EXP039746_liver_HNF4G_MACS_HNF4G_MA0484.2.damo.pwm.bed	10104
1	3718	SRF	1.07859290889225	2.10157962357466	14	82	183	2073	2073	779	7	190	200	SRF HEL (Erythro Leukemia) SRF	HEL (Erythro Leukemia)	NULL	SRF	Treatment: Treated with 10ng/ml Dox & 15nM TPA for 24 horus Genotype: mkl overexpressed	GTRD	EXP053077_HEL--Erythro-Leukemia-_SRF_MACS_SRF_MA0083.3.damo.pwm.bed	9304
